E:\Self Driving\IMG\center_2022_09_15_20_00_52_098.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_52_098.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_52_098.jpg, 0, 0, 0, 8.292524E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_52_198.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_52_198.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_52_198.jpg, 0, 0, 0, 8.313792E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_52_303.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_52_303.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_52_303.jpg, 0, 0, 0, 8.320901E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_52_403.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_52_403.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_52_403.jpg, 0, 0, 0, 8.438111E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_52_506.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_52_506.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_52_506.jpg, 0, 0, 0, 8.295577E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_52_609.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_52_609.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_52_609.jpg, 0, 0, 0, 8.27601E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_52_709.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_52_709.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_52_709.jpg, 0, 0, 0, 8.266365E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_52_810.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_52_810.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_52_810.jpg, 0, 0, 0, 8.273239E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_52_911.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_52_911.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_52_911.jpg, 0, 0, 0, 8.268754E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_53_015.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_015.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_015.jpg, 0, 0, 0, 8.259557E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_53_119.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_119.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_119.jpg, 0, 0, 0, 8.273499E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_53_220.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_220.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_220.jpg, 0, 0, 0, 8.278935E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_53_322.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_322.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_322.jpg, 0, 0, 0, 8.307608E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_53_424.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_424.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_424.jpg, 0, 0, 0, 8.312645E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_53_524.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_524.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_524.jpg, 0, 0, 0, 8.321502E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_53_629.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_629.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_629.jpg, 0, 0, 0, 8.30837E-05
E:\Self Driving\IMG\center_2022_09_15_20_00_53_730.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_730.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_730.jpg, 0, 0.1255239, 0, 0.04698941
E:\Self Driving\IMG\center_2022_09_15_20_00_53_834.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_834.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_834.jpg, 0, 0.4232046, 0, 0.4283809
E:\Self Driving\IMG\center_2022_09_15_20_00_53_934.jpg, E:\Self Driving\IMG\left_2022_09_15_20_00_53_934.jpg, E:\Self Driving\IMG\right_2022_09_15_20_00_53_934.jpg, 0, 0.7238525, 0, 1.04812
